G2latitude,G2longitude,G2pressure,G2depth,G2temperature,G2theta,G2salinity,G2sigma0,G2phtsinsitutp,G2silicate,G2nitrate,G2sigma3,G2gamma,G2aou,G2sigma4,G2phosphate,G2sigma1,G2tco2,G2oxygen,G2sigma2,G2fco2,G2talk
-48.499,-170,2497.7,2462,2.17,1.9865,34.699,27.732,7.8238,89.274,32.203,41.381,27.97322971,152.53,45.726,2.2088,32.385,2258.9,178.95,36.934,1122.7,2352.6
-48.499,-170,2940.9,2895.9,1.87,1.6505,34.735,27.786,7.8309,93.445,31.14,41.462,28.04547668,141.71,45.816,2.1393,32.449,2253.8,192.49,37.007,1071.5,2354.5
-48.499,-170,3187.5,3136.9,1.66,1.421,34.735,27.803,7.8328,99.35,31.177,41.498,28.07951793,139.77,45.857,2.162,32.472,2254.1,196.37,37.037,1051.8,2357.9
-48.499,-170,3497.7,3439.7,1.42,1.1558,34.729,27.817,7.8165,106.44,31.407,41.534,28.11835948,138.57,45.9,2.1805,32.494,2258.2,199.86,37.066,1070.5,2359.7
-48.499,-170,3996.5,3925.8,1.13,0.82166,34.716,27.829,7.7985,116.19,31.81,41.574,28.16817638,136.92,45.949,2.221,32.515,2260.8,204.44,37.097,1076.5,2361.8
-48.499,-170,4497.2,4412.7,0.97,0.61163,34.709,27.836,7.7801,122.05,32.051,41.6,28.20219026,135.8,45.98,2.2272,32.529,2262.3,207.42,37.116,1078,2363.3
-48.499,-170,4997.7,4898.3,0.97,0.55382,34.704,27.836,7.766,123,32.173,41.604,28.20890732,135.43,45.987,2.2106,32.53,2261.6,208.32,37.119,1063.4,2364.7
-47.998,-170,2.1,2.0824,10.72,10.72,34.46,26.406,8.1017,1.2273,9.1825,39.442,26.46430125,4.7447,43.597,0.77964,30.849,2076.6,266.72,35.194,503.17,2286.9
-47.505,-170,3,2.9749,10.39,10.39,34.409,26.424,8.0995,1.2534,9.695,39.482,26.48373386,5.2808,43.643,0.79553,30.875,2078,268.2,35.227,512.7,2284.4
-47.505,-170,47.3,46.9,10.4,10.395,34.408,26.422,8.1004,1.2688,9.7013,39.48,26.48238945,5.5446,43.641,0.80523,30.873,2077.4,267.91,35.225,509.24,2285.1
-47.505,-170,97.3,96.465,10.37,10.359,34.413,26.432,8.0908,1.3539,10.362,39.492,26.49352989,7.1446,43.654,0.79096,30.884,2082.1,266.51,35.236,520.47,2286.1
-47.505,-170,147.2,145.92,8.1,8.0852,34.384,26.778,8.0273,4.1869,17.873,39.984,26.86920492,25.919,44.191,1.1865,31.279,2118,261.73,35.681,666.65,2279.8
-47.505,-170,197.8,196.06,7.67,7.6506,34.381,26.839,8.0229,5.3427,18.755,40.075,26.93987818,29.059,44.292,1.2562,31.351,2122.5,261.41,35.762,682.56,2280.7
-47.505,-170,298.3,295.6,7.22,7.1917,34.354,26.884,8.0278,6.2075,19.25,40.151,26.99222765,26.575,44.378,1.2516,31.406,2122.9,266.98,35.828,680.12,2281.7
-47.505,-170,399,395.29,6.75,6.7133,34.318,26.921,8.0176,8.2835,21.079,40.222,27.03709152,37.472,44.459,1.3977,31.455,2131.6,259.38,35.888,705.07,2285.1
-47.505,-170,500.2,495.43,6.3,6.2553,34.3,26.967,7.9905,10.908,22.856,40.301,27.09041018,48.545,44.548,1.5192,31.513,2140.7,251.49,35.957,759.41,2282.4
-47.505,-170,699.4,692.39,5.48,5.4209,34.308,27.077,7.9431,19.27,26.55,40.471,27.22319829,79.553,44.737,1.7863,31.644,2164.5,226.35,36.107,865.43,2287.4
-47.505,-170,898.2,888.78,4.53,4.4593,34.34,27.213,7.905,32.957,29.954,40.677,27.38171439,104.48,44.965,2.0131,31.803,2190.2,208.39,36.29,968.7,2298.2
-47.505,-170,1098.9,1086.8,3.52,3.4404,34.365,27.337,7.8754,45.144,32.092,40.878,27.52686742,121.1,45.19,2.1296,31.954,2212.9,199.5,36.467,1062.8,2309
-47.505,-170,1298.3,1283.5,3.06,2.9684,34.427,27.431,7.8473,57.64,33.311,41.008,27.63815939,136.54,45.33,2.2432,32.06,2231,187.63,36.584,1137,2318.9
-47.505,-170,1499,1481.2,2.74,2.6354,34.508,27.525,7.8401,69.693,33.874,41.126,27.74711975,149.99,45.457,2.3147,32.162,2246.2,176.66,36.695,1154.8,2333.6
-47.505,-170,1687,1666.2,2.56,2.442,34.568,27.59,7.829,73.915,33.694,41.205,27.81826391,154.8,45.54,2.2721,32.232,2252.9,173.27,36.769,1173.8,2338.6
-47.505,-170,1997.8,1971.7,2.37,2.2281,34.65,27.673,7.8432,81.754,32.908,41.304,27.90600716,155.64,45.643,2.2312,32.32,2256.1,173.97,36.863,1116.2,2350.2
-47.505,-170,2498,2462.5,2.09,1.9079,34.723,27.757,7.8422,85.398,31.266,41.412,28.00089094,146.05,45.759,2.1069,32.413,2251.9,186.02,36.964,1078.3,2351.2
-47.505,-170,2937,2892.3,1.74,1.5236,34.736,27.797,7.845,96.049,31.089,41.483,28.06476523,140.49,45.839,2.104,32.463,2252.7,194.78,37.024,1043.7,2357.5
-47.505,-170,3184.4,3134.2,1.56,1.3237,34.735,27.81,7.8321,102.48,31.145,41.513,28.09518605,138.9,45.875,2.0946,32.482,2255.2,198.07,37.049,1057.7,2358.2
-47.505,-170,3496.9,3439.3,1.33,1.0681,34.726,27.821,7.8233,109.13,31.367,41.545,28.13140844,138.04,45.913,2.1144,32.5,2257.9,201.15,37.074,1058.1,2361.2
-47.505,-170,3998.5,3928.1,1.07,0.76317,34.713,27.83,7.8037,117.41,31.734,41.58,28.17677579,135.75,45.957,2.1498,32.519,2259,206.13,37.101,1065.6,2361.4
-47.505,-170,4502.9,4418.6,0.95,0.59162,34.708,27.837,7.7852,121.23,31.971,41.602,28.20509098,135.88,45.983,2.1705,32.53,2260.9,207.52,37.118,1065.9,2363.5
-47.505,-170,4998.7,4899.7,0.96,0.54402,34.707,27.839,7.7629,123.25,32.026,41.608,28.21267357,135.7,45.991,2.178,32.534,2262.3,208.12,37.123,1071.1,2364.3
-47.107,-170.46,2.9,2.8759,11,11,34.544,26.421,8.1143,1.0986,7.3666,39.439,26.47996358,5.6581,43.588,0.60619,30.858,2072.8,264.04,35.197,481.9,2291.8
-46.726,-170.91,3.4,3.3718,11.68,11.68,34.764,26.467,8.1031,1.2875,5.806,39.44,26.52772069,7.4707,43.574,0.50999,30.889,2076.7,257.99,35.212,482.98,2297
-46.726,-170.91,48,47.597,11.69,11.684,34.766,26.468,8.0984,1.1938,5.8805,39.44,26.52809289,8.243,43.575,0.52084,30.889,2078.3,257.19,35.212,486.82,2297.2
-46.726,-170.91,96.8,95.976,11.7,11.688,34.766,26.467,8.1005,1.138,5.9434,39.439,26.52690007,8.8222,43.574,0.53503,30.888,2077.7,256.59,35.212,481.86,2298.7
-46.726,-170.91,151.3,149.99,11.31,11.291,34.834,26.594,8.0509,2.3751,9.7024,39.588,26.66061666,29.375,43.729,0.74069,31.023,2100.3,238.12,35.353,554.14,2296.6
-46.726,-170.91,237.7,235.6,10.04,10.012,34.699,26.715,8.0207,3.5808,13.6,39.791,26.79365671,38.96,43.957,0.92044,31.172,2115.7,236.17,35.53,624.13,2290.6
-46.726,-170.91,296.8,294.13,9.46,9.4267,34.625,26.756,8.0069,4.2707,15.311,39.869,26.8394444,41.436,44.048,1.0469,31.226,2122.3,237.35,35.596,657.34,2288.2
-46.726,-170.91,398.6,394.92,8.48,8.438,34.502,26.817,8.002,5.0551,17.66,39.997,26.9110101,41.666,44.197,1.1996,31.31,2125.7,243.49,35.702,684.39,2284.3
-46.726,-170.91,498.2,493.48,7.91,7.8593,34.455,26.867,7.9931,6.3795,19.133,40.087,26.96920427,44.685,44.299,1.3095,31.373,2130.6,244.27,35.779,708.71,2283.5
