latitude,longitude,Water_depth_m,Sample_depth_average_cm,C_N_Ratio,Total_Organic_Carbon_perc,Total_Nitrogen_perc,d13C,D14C
27.25725,121.8747,84.7,2.5,8.321,0.6137,0.086,-21.935,-369.6
27.25725,121.8747,84.7,2.5,8.321,0.6137,0.086,-21.935,-369.6
28.12385,125.9999833,116,2.5,9.9668,0.27,0.0316,-22.005,-289.6
28.12385,125.9999833,116,2.5,9.9668,0.27,0.0316,-22.005,-289.6
28.79166667,123.4984167,72,2.5,6.634,0.27,0.0475,-23.775,-328.4
28.79166667,123.4984167,72,2.5,6.634,0.27,0.0475,-23.775,-328.4
28.53343333,124.4984333,96.6,2.5,9.0003,0.3745,0.0485,-21.296,-319.4
28.53343333,124.4984333,96.6,2.5,9.0003,0.3745,0.0485,-21.296,-319.4
72.875,140.629,20,0.5,9.3,1.18,0.13,-27.4,-716.2
72.46,150.596,16,0.5,8.4,0.87,0.1,-27.4,-740.7
72.651,154.185,28,0.5,7,0.87,0.13,-26.2,-672.4
71.358,152.153,9,0.5,8.9,1.35,0.15,-27.4,-681.8
71.592,161.69,20,0.5,6.6,0.56,0.08,-26.5,-623.6
69.708,162.689,10,0.5,10,1.12,0.11,-27.3,-553.9
69.817,165.999,32,0.5,6.8,0.8,0.12,-26,-546.8
70.698,169.132,36,0.5,6.5,1,0.16,-25.3,-461.6
71.483,170.553,49,0.5,6.2,1.36,0.22,-23.9,-425
75.3013,174.3957,200,0.5,5.3,0.89,0.17,-21.2,-391.5
74.6682,172.3882,63,0.5,5.6,0.85,0.15,-22.4,-331.6
74.4185,165.999,51,0.5,5.5,0.8,0.15,-23.8,-398.1
74.4167,161.3353,45,0.5,5.7,0.97,0.17,-24.8,-511.2
76.5592,160.0725,69,0.5,5.5,0.77,0.14,-22.3,-476.1
74.5828,157.003,36,0.5,6.6,0.6,0.09,-25.5,-681.8
73.2918,155.1675,33,0.5,6.7,0.99,0.15,-25,-600.3
72.0862,132.7763,14,0.5,11.4,0.47,0.04,-26,-621.6
71.7637,131.1664,16,0.5,10.3,1.87,0.18,-25.6,-549.3
71.6182,130.0369,5,0.5,14.6,2.15,0.15,-26.2,-513.3
72.2868,131.0884,16,0.5,9.3,1.85,0.2,-25.7,-526.3
72.9253,130.8424,20,0.5,12.3,2.35,0.19,-26,-481.7
72.8915,131.9312,22,0.5,10.3,1.56,0.15,-25.6,-517.1
72.7009,130.1753,6,0.5,14.3,2.58,0.18,-26.5,-436
72.4565,131.6566,18,0.5,11.3,2.14,0.19,-25.8,-495.2
72.0916,130.063,11,0.5,12.7,1.87,0.15,-26,-492.6
78.9504,125.232,3146,0.5,7.1,1.04,0.15,-22.3,-418.1
78.581,125.607,2900,0.5,7.2,1.38,0.19,-22.7,-391.8
78.238,126.15,2601,0.5,7,1.06,0.15,-22.6,-426.3
77.938,126.5179,2106,0.5,6.8,1.32,0.19,-22.5,-428
77.1501,127.3515,92,0.5,6.7,0.76,0.11,-23.2,-363.9
76.4732,132.0439,52,0.5,7.9,1.21,0.15,-24.4,-440.8
77.3424,135.007,49,0.5,7.1,1.4,0.2,-23.8,-416.5
79.0926,135.7598,2540,0.5,7.3,1.27,0.17,-22.8,-455.3
78.9266,136.178,2264,0.5,7.4,1.37,0.19,-22.8,-425.6
